iso3,year,gdp_per_capita
ABW,2000,20681.0230269625
AFE,2000,707.120376327506
AFG,2000,174.930991430166
AFW,2000,516.932316255791
AGO,2000,563.733795571487
ALB,2000,1126.68334010717
AND,2000,21810.2487431414
ARB,2000,2664.16579571488
ARE,2000,29865.502347066
ARG,2000,7637.01489203628
ARM,2000,593.450581742282
ATG,2000,12021.463208189
AUS,2000,21870.4159669594
AUT,2000,24487.2974685956
AZE,2000,655.097249579917
BDI,2000,134.537861752389
BEL,2000,23098.8865077401
BEN,2000,487.424141384242
BFA,2000,248.908526921752
BGD,2000,396.670730249751
BGR,2000,1621.26210738992
BHR,2000,14214.4836839343
BHS,2000,24940.0775086078
BIH,2000,1338.48059636261
BLR,2000,1276.28038121269
BLZ,2000,4729.67080428075
BMU,2000,56542.9569455727
BOL,2000,975.777060358751
BRA,2000,3766.54811466032
BRB,2000,11674.6736471764
BRN,2000,20130.2571493081
BTN,2000,771.924911410619
BWA,2000,3450.81180622992
CAF,2000,239.154133726071
CAN,2000,24271.0020563821
CEB,2000,3959.09429252347
CHE,2000,38865.021939688
CHI,2000,43479.1940767689
CHL,2000,5052.99245768719
CHN,2000,959.360431369138
CIV,2000,936.636541348798
CMR,2000,708.565731625965
COD,2000,377.925421481395
COG,2000,1024.30159109181
COL,2000,2555.00751039968
COM,2000,655.007796688241
CPV,2000,1189.51479345891
CRI,2000,3812.75388284924
CSS,2000,6626.89515219893
CUB,2000,2751.3817714814
CUW,2000,15841.2612359949
CYP,2000,14388.3525390625
CZE,2000,6062.92152842793
DEU,2000,23925.8559901991
DJI,2000,737.612183644052
DMA,2000,4867.39896323759
DNK,2000,30722.0251837567
DOM,2000,2831.45883638033
DZA,2000,1772.92869122761
EAP,2000,954.465171205624
EAR,2000,1345.96096692962
EAS,2000,4086.5181236253
ECA,2000,1788.23206214028
ECS,2000,11645.0816833377
ECU,2000,1382.23421759909
EGY,2000,1366.09274372613
EMU,2000,20039.4002663005
ERI,2000,314.357396753501
ESP,2000,14743.2671031455
EST,2000,4070.60902410208
ETH,2000,122.269202606069
EUU,2000,16975.9150408779
FCS,2000,751.402386963343
FIN,2000,24335.9225082659
FJI,2000,1995.72071163264
FRA,2000,22340.5939516217
FRO,2000,23322.7593357515
FSM,2000,2081.9660133519
GAB,2000,3982.906200928
GBR,2000,28280.926786099
GEO,2000,749.908534993961
GHA,2000,253.746936203344
GIN,2000,518.157066924026
GMB,2000,538.054072348854
GNB,2000,316.945495037639
GNQ,2000,1487.3165506701
GRC,2000,11638.2010697215
GRD,2000,4839.82811114248
GRL,2000,19004.0038435698
GTM,2000,1648.96578971559
GUY,2000,931.796651718955
HIC,2000,22409.9007588105
HKG,2000,25756.7728723704
HND,2000,1092.56400746252
HPC,2000,376.321478266707
HRV,2000,4953.65158789022
HTI,2000,820.600046761464
HUN,2000,4624.28165670295
IBD,2000,1474.43353846311
IBT,2000,1249.12417056884
IDA,2000,457.644524502419
IDB,2000,605.027325147959
IDN,2000,763.711124950924
IDX,2000,385.174065928169
IMN,2000,21161.3963073772
IND,2000,442.750218937263
IRL,2000,26334.5672050501
IRN,2000,1650.01385832603
IRQ,2000,1980.18916038782
ISL,2000,32096.3722613695
ISR,2000,21660.840378309
ITA,2000,20190.0035636084
JAM,2000,3453.09252800226
JOR,2000,1570.61002940477
JPN,2000,39169.3595701504
KAZ,2000,1180.0444563226
KEN,2000,414.626365130846
KGZ,2000,279.621767006739
KHM,2000,296.426687526334
KIR,2000,845.367556128631
KNA,2000,9319.65545093525
KOR,2000,12257.0206622345
KWT,2000,19296.3471698729
LAC,2000,4286.86453280356
LAO,2000,318.749852236965
LBN,2000,3986.83513941026
LBR,2000,298.485340578945
LBY,2000,7214.10040377084
LCA,2000,5879.56191426207
LCN,2000,4472.56198128317
LDC,2000,332.760035513826
LIC,2000,317.586553973794
LIE,2000,76087.911114202
LKA,2000,846.460813304966
LMC,2000,557.8144293004
LMY,2000,1162.75663874146
LSO,2000,442.779545779081
LTE,2000,1670.88947753602
LTU,2000,3300.63634928559
LUX,2000,48659.5988753233
LVA,2000,3278.17896440803
MAC,2000,15731.9868750281
MAR,2000,1499.107421875
MCO,2000,81789.0206522549
MDA,2000,440.538683980372
MDG,2000,280.282905559649
MDV,2000,2213.81235053178
MEA,2000,3112.37412193799
MEX,2000,7524.02713693678
MHL,2000,2264.79114897645
MIC,2000,1236.42545603559
MKD,2000,1861.89899780644
MLI,2000,256.199554978241
MLT,2000,10348.4865480967
MMR,2000,196.619580625284
MNA,2000,1647.90580225671
MNE,2000,1627.06511911987
MNG,2000,476.02755082717
MOZ,2000,327.12623979157
MRT,2000,680.911061879778
MUS,2000,3981.98343249582
MWI,2000,224.22415918428
MYS,2000,4083.52874483605
NAC,2000,35151.3741865271
NAM,2000,2156.67590512714
NCL,2000,15329.7297200058
NER,2000,194.771959898935
NGA,2000,547.318298903379
NIC,2000,1017.3124434882
NLD,2000,26225.1697734149
NOR,2000,38178.2368777076
NPL,2000,223.830289183078
NRU,2000,2648.60152860938
NZL,2000,13641.1027183822
OED,2000,23025.500703002
OMN,2000,9753.84755185404
OSS,2000,5414.34177228679
PAK,2000,642.338346499898
PAN,2000,3975.09308659503
PER,2000,1945.41338451698
PHL,2000,1050.79272954492
PLW,2000,7797.25727395975
PNG,2000,635.957919047725
POL,2000,4520.64100449111
PRE,2000,502.708126340942
PRI,2000,16192.1269719638
PRT,2000,11526.3720667968
PRY,2000,1736.11729210765
PSE,2000,1476.17185000238
PSS,2000,1688.38767317609
PST,2000,25863.3247780056
PYF,2000,14978.324104668
QAT,2000,27535.182940934
ROU,2000,1659.92904910528
RUS,2000,1771.59411621094
RWA,2000,251.86926386091
SAS,2000,458.634746392476
SAU,2000,11714.5623675159
SDN,2000,362.116882324219
SEN,2000,603.233162455158
SGP,2000,23852.8389514753
SLB,2000,953.17190137706
SLE,2000,143.743743239644
SLV,2000,1982.87093542615
SMR,2000,37600.7077379601
SOM,2000,386.119274401275
SRB,2000,974.725469278615
SSA,2000,627.981255873972
SSF,2000,628.872470754492
SST,2000,5122.20615403225
STP,2000,529.089383412262
SUR,2000,1988.22172925433
SVK,2000,5421.6448441887
SVN,2000,10135.7219109212
SWE,2000,29632.7736101599
SWZ,2000,1668.9749133064
SYC,2000,8063.65500575169
SYR,2000,1138.1884854278
TCD,2000,163.121663683369
TEA,2000,965.915605536413
TEC,2000,2043.07968265217
TGO,2000,409.889802792768
THA,2000,2005.97694514234
TJK,2000,136.925716400723
TKM,2000,633.835487638011
TLA,2000,4388.9268109925
TLS,2000,492.457669429651
TMN,2000,1649.66631723283
TON,2000,1995.07650349318
TSA,2000,458.634746392476
TSS,2000,628.872470754492
TTO,2000,6178.58975559687
TUN,2000,2199.04465936314
